Project,Metric,Volatility (Std),Mean,CV %
JedWatson/react-select,bi_timeToMarket,0.9633191834153934,53.00764768043919,1.8173211330237466
JedWatson/react-select,tp_testCoverage,0.0,85.0,0.0
pmndrs/react-spring,dx_codeReviewDuration,60.553403266686445,965.7384364118392,6.270166018416962
pmndrs/react-spring,bi_timeToMarket,0.7605875238247182,46.33914751542113,1.6413498404812117
pmndrs/react-spring,tp_testCoverage,0.0,85.0,0.0
recharts/recharts,dx_codeReviewDuration,,,
recharts/recharts,bi_timeToMarket,,,
recharts/recharts,tp_testCoverage,0.0,85.0,0.0
clauderic/dnd-kit,dx_codeReviewDuration,23.146363730457757,105.12298006804126,22.018367169077763
clauderic/dnd-kit,bi_timeToMarket,3.437233833645185,21.782368050915426,15.779890531694196
clauderic/dnd-kit,tp_testCoverage,0.0,85.0,0.0
floating-ui/floating-ui,dx_codeReviewDuration,24.18966091994297,53.08050326541953,45.57164953577571
floating-ui/floating-ui,bi_timeToMarket,0.7313237943439118,5.86473093294552,12.469860982635218
floating-ui/floating-ui,tp_testCoverage,0.0,85.0,0.0
rjsf-team/react-jsonschema-form,dx_codeReviewDuration,3.7547674303820777,35.00691466982092,10.725787935887482
rjsf-team/react-jsonschema-form,bi_timeToMarket,1.7015179166269399,3.139254430203757,54.201338389653905
rjsf-team/react-jsonschema-form,tp_testCoverage,0.0,85.0,0.0
