Project,Metric,Slope
web-infra-dev/rspack,tp_testCoverage,5.748573776684584e-15
web-infra-dev/rspack,bi_timeToMarket,
vercel/turbo,dx_codeReviewDuration,
vercel/turbo,tp_testCoverage,5.748573776684584e-15
vercel/turbo,bi_timeToMarket,
testing-library/react-testing-library,dx_codeReviewDuration,-3.0125144872763783
testing-library/react-testing-library,tp_testCoverage,5.748573776684584e-15
testing-library/react-testing-library,bi_timeToMarket,-0.03946910217458039
microsoft/playwright,dx_codeReviewDuration,0.2763492063492061
microsoft/playwright,tp_testCoverage,5.748573776684584e-15
microsoft/playwright,bi_timeToMarket,0.15262301587301588
vitest-dev/vitest,dx_codeReviewDuration,
vitest-dev/vitest,tp_testCoverage,7.664765035579445e-15
vitest-dev/vitest,bi_timeToMarket,
nrwl/nx,tp_testCoverage,7.664765035579445e-15
nrwl/nx,bi_timeToMarket,
colinhacks/zod,dx_codeReviewDuration,
colinhacks/zod,tp_testCoverage,7.664765035579445e-15
colinhacks/zod,bi_timeToMarket,
typescript-eslint/typescript-eslint,dx_codeReviewDuration,
typescript-eslint/typescript-eslint,tp_testCoverage,7.664765035579445e-15
typescript-eslint/typescript-eslint,bi_timeToMarket,1.1863833994708994
lerna/lerna,dx_codeReviewDuration,28.435639094526692
lerna/lerna,tp_testCoverage,7.664765035579445e-15
lerna/lerna,bi_timeToMarket,-0.7520586905790284
mswjs/msw,dx_codeReviewDuration,164.9064730615394
mswjs/msw,tp_testCoverage,7.664765035579445e-15
mswjs/msw,bi_timeToMarket,1.6630367901067697
react-hook-form/react-hook-form,dx_codeReviewDuration,38.03600082815734
react-hook-form/react-hook-form,tp_testCoverage,7.664765035579445e-15
react-hook-form/react-hook-form,bi_timeToMarket,3.6916125455738458
TanStack/form,dx_codeReviewDuration,-10.004765462506809
TanStack/form,tp_testCoverage,3.832382517789723e-15
TanStack/form,bi_timeToMarket,0.49905920368756784
JedWatson/react-select,dx_codeReviewDuration,-38.37070497354484
JedWatson/react-select,tp_testCoverage,7.664765035579445e-15
JedWatson/react-select,bi_timeToMarket,-0.4954212943279131
pmndrs/react-spring,dx_codeReviewDuration,14.207991622575088
pmndrs/react-spring,tp_testCoverage,7.664765035579445e-15
pmndrs/react-spring,bi_timeToMarket,0.03735959653863317
recharts/recharts,dx_codeReviewDuration,
recharts/recharts,tp_testCoverage,7.664765035579445e-15
recharts/recharts,bi_timeToMarket,
clauderic/dnd-kit,dx_codeReviewDuration,-7.384662722436406
clauderic/dnd-kit,tp_testCoverage,7.664765035579445e-15
clauderic/dnd-kit,bi_timeToMarket,-1.5453394380348842
floating-ui/floating-ui,dx_codeReviewDuration,6.626559972305424
floating-ui/floating-ui,tp_testCoverage,7.664765035579445e-15
floating-ui/floating-ui,bi_timeToMarket,-0.40308028641423044
rjsf-team/react-jsonschema-form,dx_codeReviewDuration,0.02130543563579603
rjsf-team/react-jsonschema-form,tp_testCoverage,7.664765035579445e-15
rjsf-team/react-jsonschema-form,bi_timeToMarket,0.8982076087177142
