Feature
dx_codeReviewDuration
dx_debuggingTime
dx_successfulDeploymentsRatio
dx_timeToFirstCommit
dx_linesChangedPerHour
dx_averageCommentsPerPR
dx_prIterationRate
tp_buildTime
tp_bundleSize
tp_bundleLoadTime
tp_performanceScore
tp_typeScriptErrorRate
tp_testCoverage
bi_timeToMarket
bi_featureSuccessRate
bi_activeContributors
bi_issueResolutionRate
bi_communityGrowth
dx_codeReviewDuration_lag_1m
dx_codeReviewDuration_lag_2m
dx_codeReviewDuration_lag_3m
dx_debuggingTime_lag_1m
dx_debuggingTime_lag_2m
dx_debuggingTime_lag_3m
dx_successfulDeploymentsRatio_lag_1m
dx_successfulDeploymentsRatio_lag_2m
dx_successfulDeploymentsRatio_lag_3m
dx_timeToFirstCommit_lag_1m
dx_timeToFirstCommit_lag_2m
dx_timeToFirstCommit_lag_3m
dx_linesChangedPerHour_lag_1m
dx_linesChangedPerHour_lag_2m
dx_linesChangedPerHour_lag_3m
dx_averageCommentsPerPR_lag_1m
dx_averageCommentsPerPR_lag_2m
dx_averageCommentsPerPR_lag_3m
dx_prIterationRate_lag_1m
dx_prIterationRate_lag_2m
dx_prIterationRate_lag_3m
tp_buildTime_lag_1m
tp_buildTime_lag_2m
tp_buildTime_lag_3m
tp_bundleSize_lag_1m
tp_bundleSize_lag_2m
tp_bundleSize_lag_3m
tp_bundleLoadTime_lag_1m
tp_bundleLoadTime_lag_2m
tp_bundleLoadTime_lag_3m
tp_performanceScore_lag_1m
tp_performanceScore_lag_2m
tp_performanceScore_lag_3m
tp_typeScriptErrorRate_lag_1m
tp_typeScriptErrorRate_lag_2m
tp_typeScriptErrorRate_lag_3m
tp_testCoverage_lag_1m
tp_testCoverage_lag_2m
tp_testCoverage_lag_3m
bi_timeToMarket_lag_1m
bi_timeToMarket_lag_2m
bi_timeToMarket_lag_3m
bi_featureSuccessRate_lag_1m
bi_featureSuccessRate_lag_2m
bi_featureSuccessRate_lag_3m
bi_activeContributors_lag_1m
bi_activeContributors_lag_2m
bi_activeContributors_lag_3m
bi_issueResolutionRate_lag_1m
bi_issueResolutionRate_lag_2m
bi_issueResolutionRate_lag_3m
bi_communityGrowth_lag_1m
bi_communityGrowth_lag_2m
bi_communityGrowth_lag_3m
