Target,Avg R²,Avg RMSE,Avg MAE,Folds
bi_timeToMarket,0.781948175071466,9.959141907845469,3.074990151510358,3
bi_communityGrowth,0.9280122459548169,6.657851020190356,4.156920800000001,3
