name,overallScore,confidence,collectedAt,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth,avg_dx,avg_tp,avg_bi,Cluster,dx_tp_interaction,tp_bi_interaction,dx_bi_interaction,testCov_x_codeReview,bundleSize_x_buildTime,avg_dx_squared,avg_tp_squared,avg_bi_squared,tp_testCoverage_squared,dx_codeReviewDuration_squared,tp_bundleSize_log,tp_bundleLoadTime_log,dx_codeReviewDuration_log,testCov_per_errorRate,performance_efficiency,dx_efficiency,overallScore_category,testCoverage_category,confidence_std,dx_codeReviewDuration_std,dx_debuggingTime_std,dx_successfulDeploymentsRatio_std,dx_timeToFirstCommit_std,dx_linesChangedPerHour_std,dx_averageCommentsPerPR_std,dx_prIterationRate_std,tp_buildTime_std,tp_bundleSize_std,tp_bundleLoadTime_std,tp_performanceScore_std,tp_typeScriptErrorRate_std,tp_testCoverage_std,bi_featureSuccessRate_std,bi_activeContributors_std,bi_issueResolutionRate_std,avg_dx_std,avg_tp_std,avg_bi_std,dx_tp_interaction_std,tp_bi_interaction_std,dx_bi_interaction_std,testCov_x_codeReview_std,bundleSize_x_buildTime_std,avg_dx_squared_std,avg_tp_squared_std,avg_bi_squared_std,tp_testCoverage_squared_std,dx_codeReviewDuration_squared_std,tp_bundleSize_log_std,tp_bundleLoadTime_log_std,dx_codeReviewDuration_log_std,testCov_per_errorRate_std,performance_efficiency_std,dx_efficiency_std,confidence_norm,dx_codeReviewDuration_norm,dx_debuggingTime_norm,dx_successfulDeploymentsRatio_norm,dx_timeToFirstCommit_norm,dx_linesChangedPerHour_norm,dx_averageCommentsPerPR_norm,dx_prIterationRate_norm,tp_buildTime_norm,tp_bundleSize_norm,tp_bundleLoadTime_norm,tp_performanceScore_norm,tp_typeScriptErrorRate_norm,tp_testCoverage_norm,bi_featureSuccessRate_norm,bi_activeContributors_norm,bi_issueResolutionRate_norm,avg_dx_norm,avg_tp_norm,avg_bi_norm,dx_tp_interaction_norm,tp_bi_interaction_norm,dx_bi_interaction_norm,testCov_x_codeReview_norm,bundleSize_x_buildTime_norm,avg_dx_squared_norm,avg_tp_squared_norm,avg_bi_squared_norm,tp_testCoverage_squared_norm,dx_codeReviewDuration_squared_norm,tp_bundleSize_log_norm,tp_bundleLoadTime_log_norm,dx_codeReviewDuration_log_norm,testCov_per_errorRate_norm,performance_efficiency_norm,dx_efficiency_norm
microsoft/TypeScript,57,90,2025-10-09T12:01:32.171Z,470.8465740740742,6593.842569444445,0.95,2.5,1.687289637854646,12.6,0.5,600.0,2928311296,29283112.96,60.0,0.43125,95,17.56643145794099,0.59,21,0.2625,106.321,1011.8466333080534,492932527.3985417,29.1479862915882,0,498772118296.2442,14367990551.290619,29493.291796852813,44730.42453703705,1756986777600.0,1023833.6093368422,2.4298247656751405e+17,849.6051048546136,9025,221696.49631729268,21.797691744675614,17.192521592495403,6.156653877815942,215.29745042492917,0.09983361064891846,0.153429990580244,Low,High,0.0,0.3837638085527348,0.36694389066466554,-2.220446049250313e-16,0.0,-0.20167657604195902,3.083272151569933,0.016554385651454295,0.1605575176262903,5.863248996903447,5.863248996903447,-0.6084655483959112,1.985864097427225,1.3511890395259079,-0.7912151466183174,-0.17948953965443454,-1.249524515767688,0.37610292934017275,5.8632489801342045,2.2409120398905484,6.697192426759645,6.302630925752443,0.7842205939473214,0.5312070166524465,5.863096487339149,-0.07317667163101764,6.882565728736159,2.6868552021266128,1.400887107709623,-0.05038597891001331,2.3710629091312887,2.371068648143217,0.7935913479958835,-1.3087739144119344,-0.2963589282596785,-0.3317165231165432,0.0,0.25225271051149695,0.12614753512744498,0.0,0.0,0.004987932645685139,0.9999999999999999,0.5,0.9999999999999998,1.0,1.0,0.0,0.7638888888888888,1.0,0.5638297872340425,0.37037037037037035,0.09861111111111112,0.1316067815830475,0.9999999999999999,0.9501340900174048,1.0000000000000002,0.9999999999999999,0.16589186482679047,0.2819338311665409,1.0,0.017410884515455548,0.9999999999999999,0.915697995065534,1.0000000000000002,0.06368067761537691,1.0000000000000002,0.9999999999999998,0.8119559969524357,0.1724046918637635,0.0,9.241654626690747e-05
angular/angular,78,90,2025-10-09T12:01:51.165Z,0.2436111111111111,2036.8355555555556,0.95,2.5,94.4127708095781,0.0,0.0,600.0,585264128,5852641.28,60.0,0.261111111111111,95,0.0056230709876543,0.06,1,0.5555555555555556,99.042,304.99170535374924,98519587.42351852,20.13263572530864,1,30047656979.0467,1983458965.4053967,6140.286903127698,23.143055555555556,351158476800.0,93019.94033458819,9706109106100310.0,405.3230212479737,9025,0.05934637345679012,20.18757380586362,15.582403789029911,0.21801933379676416,350.40983606557387,0.09983361064891846,0.14966453231335552,High,High,0.0,-0.8473831010802046,-0.2225619300453761,-2.220446049250313e-16,0.0,1.637301614045139,-1.381386712968498,-2.052743820780302,0.1605575176262903,0.7594585182265563,0.7594585182265562,-0.6084655483959112,0.1481194682897193,1.3511890395259079,-3.9347236001993395,-1.97438493619878,0.12006185679703256,-0.2480036662522645,0.7594585384863269,0.7782196865458829,0.1122707099925681,0.5447709658803119,-0.13989516734583507,-0.8478389385513179,0.7595054187800847,-0.1862903324647347,0.06278859080067183,0.6159369998139066,1.400887107709623,-0.42914079883244455,1.3277426854778591,1.3277448738930047,-3.49047756770686,-0.20120270520966427,-0.2963589282596785,-0.3319156305987121,0.0,0.0,0.03896692741557547,0.0,0.0,0.2825172766476785,0.0,0.0,0.9999999999999998,0.19939678307633632,0.19939678307633632,0.0,0.30178326474622746,1.0,0.0,0.0,0.45679012345679004,0.03939210006482922,0.19939689537849334,0.5981353657112374,0.06022769681557417,0.1378694016466374,0.034348251869132,0.0,0.19973411995862272,0.001581715292497136,0.03994538927997405,0.42343069451142834,1.0000000000000002,0.0,0.7837676381636374,0.7837659752168775,0.0,0.49019085154675657,0.0,5.70460503133616e-05
remix-run/remix,68,90,2025-10-02T08:05:01.497Z,36.86667508417509,1745.225524691358,0.95,2.5,3.785960010146672,0.1,0.3,600.0,56610816,566108.16,60.0,0.1603448275862068,85,2.456469671201814,0.49,10,0.7931034482758621,31.692,255.67545139795425,9529611.553390805,9.086314623895536,1,2436487735.5603538,86589048.81761873,2323.147593008324,3133.667382154883,33966489600.0,65369.93644754766,90813496358519.5,82.56111344441787,7225,1359.1517317621365,17.85171063798784,13.246542200780612,3.634071439912273,498.9878542510124,0.09983361064891846,0.14641605438859015,Medium,Medium,0.0,-0.7515733090044254,-0.26028533271909227,-2.220446049250313e-16,0.0,-0.16005469396534241,-1.3459529124562883,-0.8111648969212483,0.1605575176262903,-0.3920913853162324,-0.3920913853162324,-0.6084655483959112,-0.9403012775808814,-0.11749469908920893,-1.3843299491807743,-1.1666820077538245,1.2302348275309782,-0.29154668780662935,-0.39209137840330455,-1.0139867605401298,-0.27562751803211366,-0.3371284637480618,-0.29094547609992705,-0.7518913468164788,-0.39199949257446504,-0.1896503961014045,-0.21831220773887652,-0.8885430018495448,-0.15854195467585716,-0.42681887251410067,-0.18584412949180898,-0.18584619573743874,-1.0261732678288846,1.0167517738134608,-0.2963589282596785,-0.33208740152661453,0.0,0.01963070333487977,0.033388103501516504,0.0,0.0,0.011269297857691615,0.007936507936507936,0.3,0.9999999999999998,0.018759556474609956,0.018759556474609956,0.0,0.028097062579820975,0.5999999999999996,0.45744680851063835,0.16666666666666666,0.7471264367816092,0.03295841406738336,0.018759690710895543,0.16683866710949657,0.004868494864288877,0.005821646360507816,0.012846937657069948,0.01961564226843284,0.01917300546531487,0.0011115066942364645,0.00037340441058704215,0.06580850145260617,0.5636363636363637,0.00039038933248531607,0.47007061166567543,0.47006672198439925,0.4670575319802889,0.8396483612234773,0.0,2.6531763034314763e-05
vitejs/vite,68,90,2025-10-02T08:05:16.064Z,669.5185690235688,1151.726875,0.95,2.5,0.062279033959851,2.4,0.7,600.0,59602944,596029.44,60.0,0.1790322580645161,95,13.476939553990608,0.71,26,0.5645161290322581,75.561,261.1225318653613,10033288.103172043,23.262491136604577,1,2619917592.434892,233399275.5710398,6074.360583085713,63604.26405723904,35761766400.0,68184.97664777662,100666870161253.66,541.1434938806066,9025,448255.1142673673,17.903215543566485,13.298047018568766,6.508051396631421,502.55972696245743,0.09983361064891846,0.2265259338777551,Medium,High,0.0,0.9035106692029323,-0.3370618019038588,-2.220446049250313e-16,0.0,-0.23390460032892374,-0.5309755006754636,0.8442736682241566,0.1605575176262903,-0.38557372122224925,-0.38557372122224925,-0.6084655483959112,-0.7384501592494265,1.3511890395259079,-0.07947738354336904,0.26923430948165183,0.16193882889807903,-0.2867372725900303,-0.3855736927497394,1.2860219670584465,-0.273050585638523,-0.2688729370483937,-0.1425039772917973,1.1133916449054684,-0.3854820831320335,-0.18930830883620212,-0.21802414678301252,1.2490327275062902,1.400887107709623,0.3366755802020596,-0.15247010867491737,-0.15247211542409167,1.0470858468160826,1.0460318680059633,-0.2963589282596785,-0.32785140280576724,0.0,0.35874491981082635,0.022033814864573863,0.0,0.0,0.00012424122886740764,0.19047619047619047,0.7,0.9999999999999998,0.019781946179334573,0.01978194617933457,0.0,0.07885304659498199,1.0,0.6914893617021276,0.4629629629629629,0.467741935483871,0.03366902776001156,0.019782083661556454,0.7203386127108241,0.0052362638059467335,0.016041620184917324,0.03397689981543309,0.4009563641505054,0.020194964382667935,0.0011593785177633137,0.0004139562120978728,0.573920619471008,1.0000000000000002,0.1287579811020204,0.47698751328571887,0.47698366559068894,0.860000597205499,0.8480494541837154,0.0,0.0007790367617557558
remix-run/react-router,68,90,2025-10-02T08:05:30.243Z,183.3248062015504,672.3727146464648,0.95,2.5,0.3620464376778624,2.7,0.6,600.0,43671552,436715.52,60.0,0.177906976744186,95,5.446009466999052,0.78,21,0.6744186046511628,55.562,123.2585096122419,7351503.782984496,16.692485614330042,1,906135399.6994271,122714871.14116159,2057.4908985461093,17415.856589147286,26202931200.0,15192.660191831128,54044607871235.36,278.63907598461543,9025,33607.98456883601,17.592207487000252,12.987039567931493,5.216699452479802,505.56930693069313,0.09983361064891846,0.18304648663549616,Medium,High,0.0,-0.36842341470602696,-0.3990722545647232,-2.220446049250313e-16,0.0,-0.22795946302070594,-0.42467409913883414,0.4304140269378055,0.1605575176262903,-0.420276602116907,-0.42027660211690704,-0.6084655483959112,-0.7506048154612457,1.3511890395259079,0.3357029782503512,-0.17948953965443454,0.6755647611327726,-0.40846217282109537,-0.4202765733925528,0.22007375259772127,-0.2971268234073804,-0.32033271944140995,-0.3014579364690651,-0.31134129311849096,-0.4201836081509756,-0.19574800252572,-0.21938713713623334,0.0254290818332269,1.400887107709623,-0.37172371157781237,-0.35399633685551646,-0.3539986537434792,0.11551804580637128,1.070702619756845,-0.2963589282596785,-0.33015048107271516,0.0,0.09813522510456887,0.012863237140759745,0.0,0.0,0.0010214514655332962,0.2142857142857143,0.6,0.9999999999999998,0.01433829832645792,0.01433829832645792,0.0,0.07579672695951761,1.0,0.7659574468085106,0.37037037037037035,0.6020671834625322,0.01568360189379503,0.014338436572281463,0.4638168562330297,0.0018002045187964634,0.008336491318495549,0.011350537448403943,0.10968223068850234,0.014753610229287034,0.00025820530487220226,0.00022208114836629186,0.2830640984693695,1.0000000000000002,0.009653630345417176,0.43522038244369265,0.43521629139975015,0.6834413313577524,0.8551280270016672,0.0,0.00037061645704327306
storybookjs/storybook,66,90,2025-10-02T08:05:44.532Z,394.82046296296295,3281.3515,0.95,2.5,0.1004676058808727,6.6,0.6,600.0,1081166848,10811668.48,60.0,0.18,95,15.013291015625,0.64,33,0.2,87.87,526.7032043669776,181996545.27666667,27.344658203125004,0,95858163580.94006,4976633324.740014,14402.5190979057,37507.94398148148,648700108800.0,277416.26549044217,3.312274249264178e+16,747.7303322457316,9025,155883.1979742884,20.801306710594243,16.19613661617388,5.980960732092192,500.0,0.09983361064891846,0.16046520440208112,Medium,High,0.0,0.18487149568554725,-0.06156823594299019,-2.220446049250313e-16,0.0,-0.2331472254413966,0.9572441208373468,0.4304140269378055,0.1605575176262903,1.8396687740219584,1.8396687740219582,-0.6084655483959112,-0.7279971549072615,1.3511890395259079,-0.4946577453370887,0.8974476982721727,-1.5416163961724862,-0.05224693685759124,1.8396687861919943,1.948331714125657,1.0368160876680617,1.9363681108357818,0.18705457764007347,0.30842154934993576,1.839673469697507,-0.16388225652293997,0.7473680994530763,2.21198950590152,1.400887107709623,-0.16282397883003735,1.7254278090281714,1.725431333988608,0.6668481482387643,1.0250487444115282,-0.2963589282596785,-0.33134451960161815,0.0,0.21150117661404597,0.06277590028155916,0.0,0.0,0.00023854043960955772,0.5238095238095237,0.6,0.9999999999999998,0.3688433560414415,0.3688433560414414,0.0,0.08148148148148149,1.0,0.6170212765957447,0.5925925925925926,0.022222222222222254,0.06831607648754623,0.36884344453537776,0.8797242726755506,0.19217492054098984,0.3462347470368601,0.08088803888764175,0.23638729945901402,0.36910929603519443,0.004717510062370253,0.13631711820793013,0.8028201159945891,1.0000000000000002,0.0447762897422636,0.8661894982818541,0.8661884657136787,0.7879344643532449,0.8420289417238151,0.0,0.00015850119901841516
nestjs/nest,84,90,2025-10-09T12:02:04.319Z,15.970069444444436,0.0,0.95,2.5,0.4508433745417863,1.4,0.0,600.0,443699200,4436992.0,60.0,0.238235294117647,95,1.251645423112986,0.79,4,0.6470588235294118,72.967,3.038701831283746,74689491.20637254,15.93114084932848,1,226959093.7064555,1189888804.3734019,48.40998687329375,1517.1565972222213,266219520000.0,9.233708819447191,5578520096666802.0,253.80124876114257,9025,255.0431180603778,19.910657415581234,15.305487452717252,2.8314511714265915,382.70142180094797,0.09983361064891846,3.038701831283746,Very High,High,0.0,-0.8062410299494748,-0.4860520699924041,-2.220446049250313e-16,0.0,-0.2261983976891939,-0.8853135057975613,-2.052743820780302,0.1605575176262903,0.4510918145985993,0.45109181459859926,-0.6084655483959112,-0.0989722465522978,1.3511890395259079,0.39501445850659694,-1.7051506267171281,0.5476996424877176,-0.5146083875388647,0.4510918370684654,0.09654964137878955,-0.3066682985722966,0.17582153700057604,-0.3809604820574892,-0.8017544247231068,0.45115076334277376,-0.19759311182169118,-0.05788045710871225,-0.09034670657000202,1.400887107709623,-0.42870517463456403,1.1483070905574695,1.148308688210547,-1.6051751440759092,0.06350456415282797,-0.2963589282596785,-0.17915097309384323,0.0,0.008429699881939883,0.0,0.0,0.0,0.001287222592582959,0.11111111111111109,0.0,0.9999999999999998,0.15102501390827883,0.15102501390827883,0.0,0.2396514161220042,1.0,0.7765957446808511,0.05555555555555555,0.5686274509803921,0.0,0.15102513299137574,0.43409062605845283,0.000438485355350945,0.08262620467779656,3.3717062830339485e-05,0.009421574017897935,0.1513827323996531,0.0,0.022958195494390883,0.25554363205831854,1.0000000000000002,7.324222068610704e-05,0.7465788809561118,0.7465769361290511,0.3573197908477175,0.5661410982414732,0.0,0.027194959911012027
withastro/astro,71,90,2025-10-02T08:06:13.262Z,385.9310579196217,38.399027777777775,0.95,2.5,0.1130176501256862,5.0,0.6,600.0,206482432,2064824.32,60.0,0.1575,95,11.56654513888889,0.84,22,0.625,53.619,61.9275861925036,34758001.91291667,17.73010902777778,1,2152479159.341352,616263163.5037211,1097.9828550201946,36663.45050236406,123889459200.0,3835.025931629962,1208118696978318.8,314.3567661368871,9025,148942.7814669584,19.145725896528766,14.540556190000235,5.958246532249555,567.1641791044776,0.09983361064891846,1.5718049323905552,High,High,0.0,0.1616158759616945,-0.4810846757541211,-2.220446049250313e-16,0.0,-0.2328983266774409,0.39030331264199053,0.4304140269378055,0.1605575176262903,-0.06563046843352145,-0.06563046843352148,-0.6084655483959112,-0.9710295058625885,1.3511890395259079,0.6915718597878251,-0.08974476982721727,0.44460839058014157,-0.46261336043580187,-0.0656304423517046,0.3884225950906789,-0.2796174404612463,-0.09087051240110054,-0.33942720467009696,0.2823722062008733,-0.06555133084112263,-0.19712819668526527,-0.18564806543331822,0.1919188355510362,1.400887107709623,-0.17468125646759025,0.6526486643640292,0.652648699641889,0.6504623617806798,1.5756208530535525,-0.2963589282596785,-0.2567166045359277,0.0,0.2067362756391367,0.0007346160686188595,0.0,0.0,0.0002761029898648507,0.3968253968253968,0.6,0.9999999999999998,0.06996966420691321,0.06996966420691321,0.0,0.020370370370370428,1.0,0.8297872340425532,0.38888888888888884,0.5416666666666666,0.007682509524336416,0.06996979463831426,0.5043302134406732,0.004299069933813912,0.04269411571954791,0.005945787383831,0.2310617400853948,0.07036153564494434,6.506040308976082e-05,0.004971701362437225,0.32263952039625077,1.0000000000000002,0.04278270593839897,0.6438516551916236,0.643848946125007,0.7848288799564446,1.0000000000000002,0.0,0.013415794893351448
BuilderIO/qwik,71,90,2025-10-02T08:06:27.253Z,96.13494152046783,5056.698277777777,0.95,2.5,1.6166968031960434,3.1,0.5,600.0,62744576,627445.76,60.0,0.28,85,5.074989872685185,0.8,11,0.6333333333333333,21.702,737.3571308716344,10562127.84,7.842064641203703,1,7788060280.001813,82828889.26993725,5782.402283947855,8171.470029239766,37646745600.0,543695.5384472485,111558544508503.06,61.49797783681736,7225,9241.92698114377,17.954582709930786,13.349414101767053,4.576101161446684,293.10344827586204,0.09983361064891846,0.14578907051679846,High,Medium,0.0,-0.5965212825511068,0.16809506193850263,-2.220446049250313e-16,0.0,-0.2030766084998459,-0.2829388970899951,0.016554385651454295,0.1605575176262903,-0.37873039697846406,-0.37873039697846406,-0.6084655483959112,0.352146627116415,-0.11749469908920893,0.4543259387628427,-1.0769372379266073,0.48355397463411454,0.13374668038928453,-0.37873038990537267,-1.2158596574344356,-0.20044542455289277,-0.3388766503429429,-0.15405723423245476,-0.5964947059705142,-0.37863902626366264,-0.1315236606284785,-0.21770573136650234,-0.9867239380994549,-0.15854195467585716,-0.41335163253107754,-0.11918533977209529,-0.1191872843394887,-0.3466028686437601,-0.6709664868075812,-0.2963589282596785,-0.33212055477682334,0.0,0.05139969340188249,0.09674025682396707,0.0,0.0,0.004776646785029852,0.24603174603174602,0.5,0.9999999999999998,0.020855420379914696,0.020855420379914696,0.0,0.3530864197530866,0.5999999999999996,0.7872340425531915,0.18518518518518517,0.5518518518518517,0.095797507223847,0.020855554362539275,0.11825770473808667,0.015598166709481661,0.005559888491163657,0.032332347019065275,0.0513851203911835,0.021267986271250823,0.009245784423357764,0.00045878116496099317,0.04247041673267667,0.5636363636363637,0.002654658782319509,0.48388591708338713,0.4838821118518437,0.5958559411158735,0.35540545186154393,0.0,2.0642246027803785e-05
trpc/trpc,68,90,2025-10-09T12:02:18.746Z,129.12643631436316,510.55911616161626,0.95,2.5,0.7933234069966296,7.2,0.6,600.0,54971392,549713.92,60.0,0.3214285714285714,85,6.825439814814813,0.82,33,0.2571428571428571,38.619,93.10412512613944,9253641.87357143,15.904316534391535,1,861552230.8694777,147172849.45317996,1480.7574766637179,10975.747086720869,32982835200.0,8668.378115503829,85629887924314.55,252.94728442611998,7225,16673.636555247285,17.822323480610905,13.217155095557908,4.868506564832818,256.4655172413793,0.09983361064891846,0.1820007154299742,Medium,Medium,0.0,-0.5102120578833648,-0.42000486622981936,-2.220446049250313e-16,0.0,-0.21940616213251457,1.1698469239106055,0.4304140269378055,0.1605575176262903,-0.3956624942191985,-0.3956624942191986,-0.6084655483959112,0.7996347653833659,-0.11749469908920893,0.5729488992753335,0.8974476982721727,-1.274560962659528,-0.4350865189203326,-0.39566248693269496,0.0921975399210011,-0.2977531544416209,-0.3089616301882086,-0.3242802005696161,-0.5099936527809594,-0.3955704619506911,-0.19654084158099114,-0.21846374925453155,-0.0943272638573176,-0.15854195467585716,-0.40065501070027826,-0.20488634675302653,-0.2048884456083787,-0.13566466556951273,-0.9713025173359648,-0.2963589282596785,-0.3302057786904015,0.0,0.06908380217414493,0.00976756320193146,0.0,0.0,0.00231227263858864,0.5714285714285714,0.6,0.9999999999999998,0.01819937648923552,0.018199376489235516,0.0,0.4656084656084655,0.5999999999999996,0.8085106382978723,0.5925925925925926,0.09206349206349204,0.01174972967787748,0.018199510858635155,0.43304328745871956,0.0017108171906061638,0.010039096809096894,0.008101893499880294,0.06906950083814872,0.01861306151367823,0.00014725510239483705,0.00035207114296297026,0.2545974342855917,0.5636363636363637,0.004789362920941614,0.4661240346515967,0.4661201212913608,0.6358348822446511,0.2692325421984334,0.0,0.00036079309861741663
