Feature,Correlation,Abs Correlation,p-value
dx_codeReviewDuration_log_norm,-0.5822280065148766,0.5822280065148766,9.191340398899405e-06
dx_codeReviewDuration_log_std,-0.5822280065148766,0.5822280065148766,9.191340398899405e-06
dx_codeReviewDuration_log,-0.5822280065148766,0.5822280065148766,9.191340398899405e-06
bi_timeToMarket,-0.4563537949398189,0.4563537949398189,0.0008655531224905574
dx_codeReviewDuration,-0.4339336239852915,0.4339336239852915,0.0016421093542239775
dx_codeReviewDuration_norm,-0.43393362398529145,0.43393362398529145,0.0016421093542239775
dx_codeReviewDuration_std,-0.43393362398529145,0.43393362398529145,0.0016421093542239775
testCov_x_codeReview,-0.4326574570082826,0.4326574570082826,0.0017008781019024872
testCov_x_codeReview_std,-0.43265745700828245,0.43265745700828245,0.0017008781019024984
testCov_x_codeReview_norm,-0.43265745700828245,0.43265745700828245,0.0017008781019024984
dx_tp_interaction_std,-0.37657824248990307,0.37657824248990307,0.007028759826345592
dx_tp_interaction_norm,-0.37657824248990307,0.37657824248990307,0.007028759826345592
dx_tp_interaction,-0.37657824248990307,0.37657824248990307,0.007028759826345592
avg_tp_squared,-0.3249555288775109,0.3249555288775109,0.02130451957810245
avg_tp_squared_norm,-0.3249555288775109,0.3249555288775109,0.02130451957810245
avg_tp_squared_std,-0.3249555288775109,0.3249555288775109,0.02130451957810245
bi_issueResolutionRate,0.32211155611857334,0.32211155611857334,0.022534288541444757
bi_issueResolutionRate_norm,0.32211155611857334,0.32211155611857334,0.022534288541444757
bi_issueResolutionRate_std,0.32211155611857334,0.32211155611857334,0.022534288541444757
bundleSize_x_buildTime,-0.32192601147757194,0.32192601147757194,0.022616554289756566
bundleSize_x_buildTime_std,-0.32192601147757194,0.32192601147757194,0.022616554289756566
bundleSize_x_buildTime_norm,-0.32192601147757194,0.32192601147757194,0.022616554289756566
tp_bundleLoadTime_norm,-0.32187758290975266,0.32187758290975266,0.022638067816697742
tp_bundleSize,-0.32187758290975266,0.32187758290975266,0.022638067816697742
tp_bundleLoadTime_std,-0.32187758290975266,0.32187758290975266,0.022638067816697742
tp_bundleSize_std,-0.32187758290975266,0.32187758290975266,0.022638067816697742
tp_bundleSize_norm,-0.32187758290975255,0.32187758290975255,0.022638067816697742
tp_bundleLoadTime,-0.32187758290975255,0.32187758290975255,0.022638067816697742
avg_tp_norm,-0.32187757965304,0.32187757965304,0.022638069264013023
avg_tp_std,-0.32187757965304,0.32187757965304,0.022638069264013023
avg_tp,-0.32187757965304,0.32187757965304,0.022638069264013023
tp_bi_interaction,-0.3204138614371331,0.3204138614371331,0.023296472474437026
tp_bi_interaction_std,-0.3204138614371331,0.3204138614371331,0.023296472474437026
tp_bi_interaction_norm,-0.320413861437133,0.320413861437133,0.023296472474437026
tp_performanceScore,0.3029393187474654,0.3029393187474654,0.03247976774659589
tp_performanceScore_std,0.3029393187474654,0.3029393187474654,0.03247976774659589
tp_performanceScore_norm,0.3029393187474653,0.3029393187474653,0.03247976774659589
