Target,Model,Train R²,Val R²,Test R²,Train RMSE,Val RMSE,Test RMSE,Train MAE,Val MAE,Test MAE
overallScore,Linear Regression,0.932676659290172,-0.07556249097562295,0.6246863612170208,1.6197444092334805,5.074078943781716,5.115883308824276,1.2362347574730663,4.628801687196825,3.8364516155262987
overallScore,Ridge,0.8989428109373634,0.484269065331837,0.6063137376510126,1.9844824724503254,3.5135892259367987,5.239605467112259,1.5491452950709594,2.761989938412537,4.329782760698888
overallScore,Lasso,0.8855921629868511,0.5902086869092875,0.583553609262905,2.1115022468406064,3.131992905022125,5.388935774256092,1.64506630373955,2.4785952376141545,4.586299207143436
overallScore,ElasticNet,0.8730111059602652,0.5523766479252521,0.5477302216618147,2.2245723292564423,3.2733750152234737,5.615937172351725,1.7346696940115418,2.55518521996035,4.762321938107823
overallScore,Random Forest,0.9381368154676019,0.35527519582245504,0.32234604526103483,1.5526722694988122,3.9284984408804315,6.8742835990377955,1.1638235294117647,3.457499999999998,5.547500000000001
overallScore,XGBoost,0.9999939799308777,0.2789338231086731,0.6172230243682861,0.015326134362417315,4.154578310136733,5.1664990838878,0.00648924894630909,3.647336959838867,4.151216506958008
overallScore,LightGBM,0.0,-0.3092052363872899,-0.02596434970503325,6.242573442370622,5.598133648460061,8.458426727173437,4.856401384083045,4.485294117647058,6.610294117647058
timeToMarket,Linear Regression,0.920148015427775,0.7689818099334241,0.5849020364366655,3.2788933609509514,6.3920938204955755,8.699799932643742,2.3116459486809835,5.562981062096428,7.309278778369923
timeToMarket,Ridge,0.9110536574272051,0.7223894954652653,0.6326273269940382,3.4605767267107588,7.007094909393613,8.184410202397896,2.4428029574191386,6.143843167346257,6.385054586426067
timeToMarket,Lasso,0.909444292871824,0.7377417357277305,0.6633468537951344,3.4917436209707327,6.810588543671646,7.834752880557967,2.5725358366289233,6.0967856226936,6.015676763500986
timeToMarket,ElasticNet,0.9052458963128566,0.7153852414084945,0.6525540814041102,3.5717697037943683,7.094940545618967,7.959349425477763,2.631534801530835,6.388989447476239,6.039388098180222
timeToMarket,Random Forest,0.9305058193276906,0.3651926917965893,0.47892862752624743,3.0588533402420848,10.595977104121461,9.747260453636505,2.48720884589672,8.590089400007844,5.48858340009885
timeToMarket,XGBoost,0.9999877310813619,0.2936672189121561,0.3296234186312542,0.040643170443040465,11.176986682377828,11.055881653477956,0.016021700565534213,7.592587377780937,6.156016129126602
timeToMarket,LightGBM,0.0,-0.016862658763809435,-0.013834720238646403,11.603377864647625,13.41069242238651,13.596199988768934,8.190098900613473,11.056145865375065,9.872628135005987
communityGrowth,Linear Regression,0.9859116191470162,0.9559110085948953,0.32338797602116987,3.2788933609509465,6.392093814140617,8.699799914192303,2.311645927755154,5.562981051493286,7.309278760822041
communityGrowth,Ridge,0.9788106902110828,0.9566176226334233,0.014486791906510255,4.021195203718837,6.340663887663155,10.499548726486331,2.975592851586427,5.355347843887433,7.550072576218906
communityGrowth,Lasso,0.9842747843635764,0.9574134683291253,0.39428038165433155,3.4641369699621203,6.2822352342973815,8.23142885331675,2.5543526521644004,5.571334558278899,6.233036153071758
communityGrowth,ElasticNet,0.9738323095848062,0.9603928704833871,-0.100684493696938,4.46868196586081,6.058494844249068,11.096112030880894,3.361585132743581,4.987907518761057,8.10963593314233
communityGrowth,Random Forest,0.9743109289734249,0.8000621087263396,0.11947444359905979,4.427626217787049,13.612115079366362,9.92454011558344,3.607598235294116,11.972148750000015,8.446237499999999
communityGrowth,XGBoost,0.9999929737304624,0.6585105162825085,-0.6417491828202113,0.07322496177257336,17.789622214070103,13.551669865041246,0.035256378510419094,16.144933074951172,11.827828070163726
communityGrowth,LightGBM,1.1102230246251565e-16,-0.04181230372651634,-2.322684539721392,27.62464786149234,31.072256937363083,19.278976064442002,22.346586453606097,28.693308713912963,16.964963070869445
