,overallScore,confidence,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,70.68,90.0,324.1537757006344,3757.2872298406965,0.9500000000000002,2.5,11.856283297138134,3.8985000000000003,0.49599999999999994,590.2080000000001,236612055.04,2366120.5504,67.0317,0.2473981711530423,85.8,12.546384942470572,0.7233999999999999,23.0,0.5298654677673732,39.88062
std,6.588301320197361,0.0,386.1283952315483,7808.696825211383,2.2429892266911074e-16,0.0,50.93419881505408,2.850816254395665,0.24408095010484046,61.606668205210866,463740639.1679759,4637406.391679759,11.67377457319244,0.09352019253026343,6.8779446384061265,12.36792000907526,0.1703131569449977,11.255837487766977,0.21614614533967047,27.106894215227058
min,57.0,90.0,0.2436111111111111,0.0,0.95,2.5,0.02076872891616582,0.0,0.0,166.9,1709056.0,17090.56,60.0,0.15,70.0,0.00562307098765432,0.06,1.0,0.18181818181818182,5.844
25%,66.25,90.0,66.83964781746032,9.3475,0.95,2.5,0.1167319908040694,1.725,0.3,600.0,31180544.0,311805.43999999994,60.0,0.17536764705882352,85.0,4.261600769425987,0.6575,16.0,0.31112637362637363,19.877499999999998
50%,71.0,90.0,147.87139174972316,1755.677312154108,0.95,2.5,0.5122496097022466,3.3499999999999996,0.6,600.0,55791104.0,557911.04,60.0,0.19939903846153845,85.0,7.793386749190509,0.77,21.0,0.5655913978494624,30.7345
75%,75.25,90.0,457.04223432239064,4904.018523148147,0.95,2.5,1.588259128208252,5.1,0.7,600.0,219667200.0,2196672.0,69.55025,0.3183397683397683,92.5,15.244438311155573,0.8274999999999999,28.75,0.6666666666666666,51.92425
max,85.0,90.0,1865.8448251028808,52270.8791954023,0.95,2.5,334.1313165888839,12.6,1.0,600.0,2928311296.0,29283112.96,98.331,0.5181818181818182,95.0,52.0443284970238,1.0,55.0,1.0,106.321
