Метрика 1,Метрика 2,Кореляція
tp_testCoverage,bi_featureSuccessRate,-0.08860809523846677
tp_testCoverage,bi_timeToMarket,-0.08793052677474825
dx_debuggingTime,dx_averageCommentsPerPR,0.08753183617909407
tp_buildTime,bi_activeContributors,0.08368576999015621
tp_buildTime,tp_bundleLoadTime,0.08199879176880756
tp_buildTime,tp_bundleSize,0.08199879176880752
tp_testCoverage,bi_activeContributors,0.08172014412401425
dx_prIterationRate,tp_buildTime,-0.07677436055727725
overallScore,tp_buildTime,-0.06942641114222518
tp_performanceScore,bi_featureSuccessRate,-0.06743016026409798
dx_debuggingTime,tp_performanceScore,-0.0646453382013272
dx_averageCommentsPerPR,tp_performanceScore,0.06270092906799977
dx_codeReviewDuration,bi_activeContributors,0.0574579784781007
overallScore,dx_linesChangedPerHour,0.05617970558640704
dx_linesChangedPerHour,tp_bundleLoadTime,0.05611245894578432
dx_linesChangedPerHour,tp_bundleSize,0.05611245894578431
dx_linesChangedPerHour,bi_communityGrowth,0.05571848002442358
dx_debuggingTime,dx_linesChangedPerHour,0.054727122863421726
dx_averageCommentsPerPR,tp_buildTime,-0.05325739872413195
dx_averageCommentsPerPR,tp_testCoverage,0.05132288016640172
dx_prIterationRate,bi_activeContributors,-0.050512764017304874
tp_typeScriptErrorRate,bi_issueResolutionRate,-0.04424058484655503
dx_codeReviewDuration,tp_typeScriptErrorRate,-0.03957023225666373
dx_codeReviewDuration,tp_buildTime,-0.03950259758218627
dx_linesChangedPerHour,tp_buildTime,0.03708440652832099
overallScore,bi_activeContributors,-0.03247391573955259
dx_debuggingTime,tp_typeScriptErrorRate,0.031228481087234077
dx_debuggingTime,tp_testCoverage,-0.031072044668161925
tp_buildTime,bi_featureSuccessRate,-0.028627763451258684
tp_bundleLoadTime,bi_activeContributors,-0.024966858929092377
tp_bundleSize,bi_activeContributors,-0.024966858929092374
dx_prIterationRate,tp_bundleSize,-0.022058810072152567
dx_prIterationRate,tp_bundleLoadTime,-0.022058810072152553
dx_debuggingTime,tp_buildTime,0.01789592149569354
dx_debuggingTime,bi_activeContributors,-0.017006567206037847
dx_debuggingTime,tp_bundleSize,-0.016208103384822682
dx_debuggingTime,tp_bundleLoadTime,-0.016208103384822654
tp_buildTime,bi_timeToMarket,0.015575894727640458
tp_bundleLoadTime,bi_timeToMarket,0.01407637310086177
tp_bundleSize,bi_timeToMarket,0.014076373100861695
dx_codeReviewDuration,tp_bundleLoadTime,0.013851884668851894
dx_codeReviewDuration,tp_bundleSize,0.013851884668851854
tp_typeScriptErrorRate,bi_communityGrowth,-0.011501668181801221
bi_activeContributors,bi_issueResolutionRate,-0.005284414710105099
tp_performanceScore,bi_activeContributors,-0.0022124693186126366
dx_linesChangedPerHour,bi_issueResolutionRate,0.001481713300726557
overallScore,confidence,
overallScore,dx_successfulDeploymentsRatio,
overallScore,dx_timeToFirstCommit,
confidence,dx_codeReviewDuration,
confidence,dx_debuggingTime,
confidence,dx_successfulDeploymentsRatio,
confidence,dx_timeToFirstCommit,
confidence,dx_linesChangedPerHour,
confidence,dx_averageCommentsPerPR,
confidence,dx_prIterationRate,
confidence,tp_buildTime,
confidence,tp_bundleSize,
confidence,tp_bundleLoadTime,
confidence,tp_performanceScore,
confidence,tp_typeScriptErrorRate,
confidence,tp_testCoverage,
confidence,bi_timeToMarket,
confidence,bi_featureSuccessRate,
confidence,bi_activeContributors,
confidence,bi_issueResolutionRate,
confidence,bi_communityGrowth,
dx_codeReviewDuration,dx_successfulDeploymentsRatio,
dx_codeReviewDuration,dx_timeToFirstCommit,
dx_debuggingTime,dx_successfulDeploymentsRatio,
dx_debuggingTime,dx_timeToFirstCommit,
dx_successfulDeploymentsRatio,dx_timeToFirstCommit,
dx_successfulDeploymentsRatio,dx_linesChangedPerHour,
dx_successfulDeploymentsRatio,dx_averageCommentsPerPR,
dx_successfulDeploymentsRatio,dx_prIterationRate,
dx_successfulDeploymentsRatio,tp_buildTime,
dx_successfulDeploymentsRatio,tp_bundleSize,
dx_successfulDeploymentsRatio,tp_bundleLoadTime,
dx_successfulDeploymentsRatio,tp_performanceScore,
dx_successfulDeploymentsRatio,tp_typeScriptErrorRate,
dx_successfulDeploymentsRatio,tp_testCoverage,
dx_successfulDeploymentsRatio,bi_timeToMarket,
dx_successfulDeploymentsRatio,bi_featureSuccessRate,
dx_successfulDeploymentsRatio,bi_activeContributors,
dx_successfulDeploymentsRatio,bi_issueResolutionRate,
dx_successfulDeploymentsRatio,bi_communityGrowth,
